prodcatg,mode,detector,date,n,edge_med,full_med,row_struct,col_struct
CAL.R-BIA,SLOW,2.A.Red,2026-04-07,11,1585.0,1585.0,0.252,0.255
CAL.R-BIA,SLOW,2.A.Red,2026-06-30,11,1586.0,1586.0,0.218,0.211
CAL.R-BIA,SLOW,2.B.Blue,2026-04-07,11,502.0,501.0,0.527,0.13
CAL.R-BIA,SLOW,2.B.Blue,2026-06-30,11,502.0,501.0,0.524,0.115
CAL.R-BIA,SLOW,2.B.Green,2026-04-07,11,632.0,631.0,0.397,0.098
CAL.R-BIA,SLOW,2.B.Green,2026-06-30,11,631.0,630.0,0.38,0.099
CAL.R-BIA,SLOW,2.B.Red,2026-04-07,11,1563.0,1563.0,0.227,0.209
CAL.R-BIA,SLOW,2.B.Red,2026-06-30,11,1561.0,1561.0,0.23,0.197
CAL.R-BIA,SLOW,3.A.Blue,2026-04-07,11,493.0,492.0,1423.907,2.922
CAL.R-BIA,SLOW,3.A.Blue,2026-06-30,11,494.0,492.0,1423.847,2.927
CAL.R-BIA,SLOW,3.A.Green,2026-04-07,11,693.0,692.0,0.539,0.105
CAL.R-BIA,SLOW,3.A.Green,2026-06-30,11,693.0,691.0,0.545,0.133
CAL.R-BIA,SLOW,3.A.Red,2026-04-07,11,1680.0,1679.0,0.223,0.211
CAL.R-BIA,SLOW,3.A.Red,2026-06-30,11,1681.0,1681.0,0.204,0.224
CAL.R-BIA,SLOW,3.B.Blue,2026-04-07,11,834.0,834.0,0.119,0.104
CAL.R-BIA,SLOW,3.B.Blue,2026-06-30,11,834.0,834.0,0.115,0.113
CAL.R-BIA,SLOW,3.B.Green,2026-04-07,11,674.0,673.0,0.478,0.139
CAL.R-BIA,SLOW,3.B.Green,2026-06-30,11,676.0,675.0,0.45,0.128
CAL.R-BIA,SLOW,3.B.Red,2026-04-07,11,1610.0,1610.0,0.252,0.197
CAL.R-BIA,SLOW,3.B.Red,2026-06-30,11,1610.0,1610.0,0.22,0.18
CAL.R-BIA,SLOW,4.A.Green,2026-04-07,11,299.0,297.0,0.757,0.143
CAL.R-BIA,SLOW,4.A.Green,2026-06-30,11,300.0,299.0,0.731,0.145
CAL.R-BIA,SLOW,4.A.Red,2026-04-07,11,1535.0,1535.0,0.246,0.248
CAL.R-BIA,SLOW,4.A.Red,2026-06-30,11,1534.0,1534.0,0.287,0.264
CAL.R-BIA,SLOW,4.B.Blue,2026-04-07,11,676.0,677.0,0.145,0.109
CAL.R-BIA,SLOW,4.B.Blue,2026-06-30,11,676.0,676.0,0.103,0.095
CAL.R-BIA,SLOW,4.B.Green,2026-04-07,11,667.0,667.0,0.246,0.118
CAL.R-BIA,SLOW,4.B.Green,2026-06-30,11,667.0,667.0,0.221,0.094
CAL.R-BIA,SLOW,4.B.Red,2026-04-07,11,1717.0,1718.0,0.188,0.189
CAL.R-BIA,SLOW,4.B.Red,2026-06-30,11,1716.0,1716.0,0.199,0.202
CAL.R-DRK,SLOW,1.A.Green,2026-04-07,3,690.0,695.0,2.17,0.43
CAL.R-DRK,SLOW,1.A.Green,2026-06-30,3,691.0,695.0,2.197,0.549
CAL.R-DRK,SLOW,1.A.Red,2026-04-07,3,1694.0,1701.0,3.193,1.068
CAL.R-DRK,SLOW,1.A.Red,2026-06-30,3,1693.0,1701.0,3.403,1.116
CAL.R-DRK,SLOW,1.B.Blue,2026-04-07,3,707.0,707.0,0.43,0.458
CAL.R-DRK,SLOW,1.B.Blue,2026-06-30,3,710.0,710.0,0.434,0.532
CAL.R-DRK,SLOW,1.B.Green,2026-04-07,3,664.0,664.0,0.506,0.476
CAL.R-DRK,SLOW,1.B.Green,2026-06-30,3,664.0,664.0,0.545,0.545
CAL.R-DRK,SLOW,1.B.Red,2026-04-07,3,1676.0,1677.0,1.07,0.937
CAL.R-DRK,SLOW,1.B.Red,2026-06-30,3,1677.0,1678.0,1.113,1.076
CAL.R-DRK,SLOW,2.A.Blue,2026-04-07,3,551.0,551.0,0.466,0.467
CAL.R-DRK,SLOW,2.A.Blue,2026-06-30,3,550.0,550.0,0.472,0.49
CAL.R-DRK,SLOW,2.A.Green,2026-04-07,3,642.0,643.0,0.654,0.571
CAL.R-DRK,SLOW,2.A.Green,2026-06-30,3,642.0,643.0,0.624,0.606
CAL.R-DRK,SLOW,2.A.Red,2026-04-07,3,1586.0,1586.0,1.053,0.951
CAL.R-DRK,SLOW,2.A.Red,2026-06-30,3,1587.0,1587.0,1.258,1.205
CAL.R-DRK,SLOW,2.B.Blue,2026-04-07,3,504.0,502.0,0.917,0.544
CAL.R-DRK,SLOW,2.B.Blue,2026-06-30,3,504.0,502.0,0.924,0.521
CAL.R-DRK,SLOW,2.B.Green,2026-04-07,3,635.0,634.0,1.07,0.463
CAL.R-DRK,SLOW,2.B.Green,2026-06-30,3,634.0,633.0,0.967,0.51
CAL.R-DRK,SLOW,2.B.Red,2026-04-07,3,1563.0,1563.0,0.891,0.801
CAL.R-DRK,SLOW,2.B.Red,2026-06-30,3,1562.0,1562.0,1.033,0.951
CAL.R-DRK,SLOW,3.A.Blue,2026-04-07,3,498.0,496.0,1424.228,2.928
CAL.R-DRK,SLOW,3.A.Blue,2026-06-30,3,498.0,496.0,1424.355,2.961
CAL.R-DRK,SLOW,3.A.Green,2026-04-07,3,695.0,693.0,0.841,0.482
CAL.R-DRK,SLOW,3.A.Green,2026-06-30,3,695.0,693.0,0.955,0.518
CAL.R-DRK,SLOW,3.A.Red,2026-04-07,3,1681.0,1682.0,1.127,1.125
CAL.R-DRK,SLOW,3.A.Red,2026-06-30,3,1683.0,1683.0,1.097,1.053
CAL.R-DRK,SLOW,3.B.Blue,2026-04-07,3,834.0,835.0,0.487,0.519
CAL.R-DRK,SLOW,3.B.Blue,2026-06-30,3,834.0,834.0,0.537,0.569
CAL.R-DRK,SLOW,3.B.Green,2026-04-07,3,677.0,676.0,0.757,0.487
CAL.R-DRK,SLOW,3.B.Green,2026-06-30,3,678.0,677.0,0.777,0.658
CAL.R-DRK,SLOW,3.B.Red,2026-04-07,3,1610.0,1611.0,1.07,0.975
CAL.R-DRK,SLOW,3.B.Red,2026-06-30,3,1610.0,1611.0,1.34,1.157
CAL.R-DRK,SLOW,4.A.Green,2026-04-07,3,301.0,299.0,0.96,0.651
CAL.R-DRK,SLOW,4.A.Green,2026-06-30,3,303.0,301.0,0.856,0.472
CAL.R-DRK,SLOW,4.A.Red,2026-04-07,3,1536.0,1536.0,0.819,0.869
CAL.R-DRK,SLOW,4.A.Red,2026-06-30,3,1535.0,1536.0,1.108,1.077
CAL.R-DRK,SLOW,4.B.Blue,2026-04-07,3,677.0,677.0,0.498,0.475
CAL.R-DRK,SLOW,4.B.Blue,2026-06-30,3,677.0,677.0,0.581,0.579
CAL.R-DRK,SLOW,4.B.Green,2026-04-07,3,669.0,670.0,0.691,0.572
CAL.R-DRK,SLOW,4.B.Green,2026-06-30,3,669.0,670.0,1.215,1.126
CAL.R-DRK,SLOW,4.B.Red,2026-04-07,3,1721.0,1721.0,0.925,0.898
CAL.R-DRK,SLOW,4.B.Red,2026-06-30,3,1720.0,1721.0,1.048,1.045
CAL.R-FLT,FAST,1.A.Green,2026-04-07,12,1021.5,11153.5,4930.583,4730.714
CAL.R-FLT,FAST,1.A.Green,2026-05-02,12,1051.0,13395.5,5890.929,5589.793
